,r,rho,vp,vs,K,G
89,1164160.2192964125,8702.222607087895,6649.527593660583,3495.086623972118,243041850447.34766,106303135975.85129
90,1168608.6403241092,8698.226604322872,6645.489521606908,3493.752892641741,242571376466.6435,106173244075.02834
91,1173025.4564121035,8694.244216354102,6641.464960812423,3492.42366877048,242103049010.2656,106043897389.05276
92,1177411.2450026174,8690.275242925814,6637.453709000445,3491.0988869015728,241636838397.76352,105915088395.1795
93,1181766.5668937343,8686.319488642885,6633.455568774001,3489.7784831783647,241172715656.33487,105786809751.97818
94,1186091.966896059,8682.376762801554,6629.470347445717,3488.462395288585,240710652496.4739,105659054293.0706
95,1190387.974585076,8678.446879225348,6625.497856872949,3487.1505624103293,240250621288.427,105531815021.07114
96,1194655.104960813,8674.529655964947,6621.537913155311,3485.842925112595,239792595022.93604,105405085097.1596
97,1198893.8587642643,8670.624915360557,6617.590336698595,3484.539425376788,239336547314.58957,105278857842.42104
98,1203104.7231344471,8666.732483814973,6613.654951986226,3483.240006521632,238882452371.44385,105153126729.84088
99,1207288.1721273034,8662.852191560447,6609.731587344378,3481.944613125984,238430284964.15186,105027885376.14223
100,1211444.6675136336,8658.983872306198,6605.820074613191,3480.6531909172613,237980020384.0694,104903127530.14696
101,1215574.6595209723,8655.127362824922,6601.920248712568,3479.365686630491,237531634390.31537,104778847058.68802
102,1219678.586551146,8651.282503599474,6598.031948233197,3478.0820482117965,237085103275.67804,104655037966.1454
103,1223756.8759368935,8647.449138306787,6594.155014969594,3476.80222465781,236640403808.77878,104531694377.94557
104,1227809.9443742423,8643.627113665278,6590.289293767307,3475.5261659654307,236197513213.54532,104408810535.16316
105,1231838.198160994,8639.81627900887,6586.434632395946,3474.253823051335,235756409146.74258,104286380784.03445
106,1235842.0328077294,8636.016488308383,6582.590882700819,3472.9851482466024,235317069841.75183,104164399629.54102
107,1239821.8349619366,8632.227596948309,6578.757898369353,3471.72009442867,234879473833.006,104042861643.86101
108,1243777.9817522622,8628.449463484034,6574.935536133955,3470.4586154921394,234443600100.74954,103921761515.41472
109,1247710.8413541918,8624.681949086387,6571.123655354852,3469.2006661929177,234009428018.3869,103801094032.35219
110,1251620.7731960565,8620.924917545328,6567.322118026469,3467.9462021502864,233576937350.73483,103680854082.28696
111,1255508.1281144265,8617.178235266998,6563.530788817059,3466.6951798546634,233146108255.42386,103561036652.29413
112,1259373.2490015787,8613.441770986808,6559.749534681988,3465.4475565528764,232716921238.20062,103441636818.18811
113,1263216.4709213106,8609.715395795394,6555.9782249166265,3464.203290262518,232289357156.3443,103322649745.3065
114,1267038.1213543147,8605.998983033818,6552.216731076593,3462.962339742463,231863397207.0686,103204070685.1119
115,1270838.520443329,8602.292408223017,6548.4649269065485,3461.7246644696183,231439022917.40424,103085894972.59235
116,1274617.981170126,8598.595548749036,6544.722688213274,3460.490224571594,231016216124.8226,102968118018.12837
117,1278376.8094852075,8594.908284004787,6540.989892943816,3459.258980861012,230594958985.25848,102850735310.90517
118,1282115.3047683325,8591.2304961855,6537.266421304895,3458.0308949675164,230175233995.48825,102733742435.93306
119,1285833.7599413064,8587.562069452257,6533.552155459145,3456.805929165609,229757023948.25098,102617135053.43446
120,1289532.4616605074,8583.902889845647,6529.846979459882,3455.5840463503864,229340311922.7966,102500908896.05629
121,1293211.6905095233,8580.252845241892,6526.150779199314,3454.365210021672,228925081277.48172,102385059767.10066
