# Model of mercury with growing inner core:
# M_core/M= 0.63, wS= 0.05, wSi= 0.05
# mfrac,rfrac,r_slb,r_rib,r_surf,P_slb,T_center,T_slb,T_rib,T_surf,Ti_avg,Tc_avg,Tm_avg,E_g,w_S,w_Si,rho_diff,C_MR2,Cm_C,at_eutectic
2.500000000000000000e-01,6.028701426852038914e-01,1.133435084687423892e+06,1.880065049562856089e+06,2.501256075038251001e+06,2.540132002581578827e+10,2.264290553366387940e+03,2.094334098471074867e+03,1.550000000000000000e+03,1.000000000000000000e+03,2.164585692714467768e+03,1.875458742960976906e+03,1.025020185391164432e+03,0.000000000000000000e+00,6.666666666666665186e-02,4.999999999999999584e-02,5.806148212461430376e+02,3.322054937860691171e-01,5.867089029010690293e-01,0.000000000000000000e+00
2.750000000000000222e-01,6.225520689549377540e-01,1.170766098781583831e+06,1.880591451164749917e+06,2.501563960494476371e+06,2.456530904197192383e+10,2.261870827588196335e+03,2.080016615129221918e+03,1.550000000000000000e+03,1.000000000000000000e+03,2.155540254057474613e+03,1.868512263745642713e+03,1.025004149952451371e+03,0.000000000000000000e+00,6.896551724137930939e-02,5.000000000000000971e-02,6.135629432220948729e+02,3.320891622046638347e-01,5.869760435572922708e-01,0.000000000000000000e+00
3.000000000000000444e-01,6.411050061937905165e-01,1.205971753037426388e+06,1.881083038482607575e+06,2.501851934281338006e+06,2.375716693077776337e+10,2.259020281603415697e+03,2.065593802075338317e+03,1.550000000000000000e+03,1.000000000000000000e+03,2.146259778021340480e+03,1.861276096251217950e+03,1.024988923991711999e+03,0.000000000000000000e+00,7.142857142857142461e-02,5.000000000000000278e-02,6.479424032685110433e+02,3.319653310109652589e-01,5.872530432189287941e-01,0.000000000000000000e+00
3.250000000000000111e-01,6.586854897776609485e-01,1.239343091236019507e+06,1.881539992105123354e+06,2.502119372776777484e+06,2.297438600770607758e+10,2.255724589615384957e+03,2.051026712631525243e+03,1.550000000000000000e+03,1.000000000000000000e+03,2.136711477205829851e+03,1.853733580989591701e+03,1.024974618398510074e+03,0.000000000000000000e+00,7.407407407407406996e-02,5.000000000000000278e-02,6.839047554900807881e+02,3.318344181266310033e-01,5.875375439732647420e-01,0.000000000000000000e+00
3.500000000000000333e-01,6.754404425770539344e-01,1.271001122943029972e+06,1.881736779180252925e+06,2.502236329339897726e+06,2.222344760640164185e+10,2.243966169181827354e+03,2.029135827031721874e+03,1.550000000000000000e+03,1.000000000000000000e+03,2.119363075909574036e+03,1.839507360117434018e+03,1.024966362171148603e+03,0.000000000000000000e+00,7.692307692307692735e-02,4.999999999999998890e-02,7.209946769593170757e+02,3.316740272318389193e-01,5.878449704287961319e-01,0.000000000000000000e+00
3.750000000000000000e-01,6.914797437359272436e-01,1.301361031286746496e+06,1.881994437401379691e+06,2.502388387204803992e+06,2.158111589392185593e+10,2.227836834105163234e+03,2.005018760522400953e+03,1.550000000000000000e+03,1.000000000000000000e+03,2.098852080371068951e+03,1.822302174045722950e+03,1.024957213990586979e+03,0.000000000000000000e+00,8.000000000000001554e-02,5.000000000000000971e-02,7.584289127414667746e+02,3.315294553639427377e-01,5.881316572943326992e-01,0.000000000000000000e+00
4.000000000000000222e-01,7.068103075521610101e-01,1.330226123966328567e+06,1.882012910328364000e+06,2.502401276133422740e+06,2.087221407631365204e+10,2.211174276937781542e+03,1.979373408043229347e+03,1.550000000000000000e+03,1.000000000000000000e+03,2.077259409910102931e+03,1.804324890469324828e+03,1.024954208997519345e+03,0.000000000000000000e+00,8.333333333333332871e-02,5.000000000000000971e-02,7.991749352685092163e+02,3.313460001816803668e-01,5.884603603444824582e-01,0.000000000000000000e+00
4.250000000000000444e-01,7.215520382368966201e-01,1.357941696456980659e+06,1.881973335942746839e+06,2.502380996143500786e+06,2.018179031330865479e+10,2.193456131365912370e+03,1.953113894396894011e+03,1.550000000000000000e+03,1.000000000000000000e+03,2.054859454106866451e+03,1.785594366120494897e+03,1.024952808290912344e+03,0.000000000000000000e+00,8.695652173913041849e-02,4.999999999999998196e-02,8.421851384126739504e+02,3.311549985195434975e-01,5.887955714045490785e-01,0.000000000000000000e+00
4.500000000000000111e-01,7.357641227205858891e-01,1.384607415659227176e+06,1.881863185363614699e+06,2.502318392893915530e+06,1.950898681366924667e+10,2.174319789852862414e+03,1.925924759070042683e+03,1.550000000000000000e+03,1.000000000000000000e+03,2.031317730216361497e+03,1.765827398129886660e+03,1.024953377215927048e+03,0.000000000000000000e+00,9.090909090909091161e-02,4.999999999999999584e-02,8.876759036416606250e+02,3.309553646592833243e-01,5.891375602170015879e-01,0.000000000000000000e+00
4.750000000000000333e-01,7.495023106344341768e-01,1.410302964076362783e+06,1.881652590080179973e+06,2.502198462951199617e+06,1.885359485454968643e+10,2.152720714954433333e+03,1.896904376334043263e+03,1.550000000000000000e+03,1.000000000000000000e+03,2.005671153973621131e+03,1.744205516343798081e+03,1.024956712253904016e+03,0.000000000000000000e+00,9.523809523809526056e-02,5.000000000000001665e-02,9.358316236375148947e+02,3.307459361589576985e-01,5.894877136252351102e-01,0.000000000000000000e+00
5.000000000000000000e-01,7.628185862130340000e-01,1.435078721624543192e+06,1.881284420125240227e+06,2.501986607722695451e+06,1.821607330791098404e+10,2.126754543916675175e+03,1.864427893712063224e+03,1.550000000000000000e+03,1.000000000000000000e+03,1.976173958472018285e+03,1.719241873747257614e+03,1.024964257160366287e+03,0.000000000000000000e+00,1.000000000000000194e-01,5.000000000000000971e-02,9.867833530184043411e+02,3.305210846764361499e-01,5.898459834930317447e-01,0.000000000000000000e+00
5.250000000000000222e-01,7.757549557430546416e-01,1.458994610422775615e+06,1.880741591944175074e+06,2.501673412064054981e+06,1.759562656606055450e+10,2.095959412328619237e+03,1.828147178604219334e+03,1.550000000000000000e+03,1.000000000000000000e+03,1.942429912979865094e+03,1.690592980207160508e+03,1.024976527847871694e+03,0.000000000000000000e+00,1.052631578947368085e-01,4.999999999999998890e-02,1.040811937396848407e+03,3.302806851661749810e-01,5.902132706664378059e-01,0.000000000000000000e+00
5.500000000000000444e-01,7.883346852460008103e-01,1.482306117373095825e+06,1.880300518441022839e+06,2.501419129680873826e+06,1.706286152421151161e+10,2.058559749979721801e+03,1.787753597495589474e+03,1.550000000000000000e+03,1.000000000000000000e+03,1.903484571435653606e+03,1.657180959083063954e+03,1.024986477331257447e+03,0.000000000000000000e+00,1.111111111111111327e-01,5.000000000000000278e-02,1.096619616264171782e+03,3.300557566997137648e-01,5.905647807453061615e-01,0.000000000000000000e+00
5.750000000000000666e-01,8.005886574198166628e-01,1.504610843522426905e+06,1.879380665186506230e+06,2.500887196692596655e+06,1.647248600371306992e+10,2.016865958353158703e+03,1.742943568146023381e+03,1.550000000000000000e+03,1.000000000000000000e+03,1.860184635918024014e+03,1.620226632620187047e+03,1.025008939002178067e+03,0.000000000000000000e+00,1.176470588235294101e-01,4.999999999999998890e-02,1.157737117541225416e+03,3.297826947310497636e-01,5.909474017321894035e-01,0.000000000000000000e+00
6.000000000000000888e-01,8.125718778664924313e-01,1.526165211378230248e+06,1.878191028940559598e+06,2.500198955439285841e+06,1.589800738326182175e+10,1.967528340064661052e+03,1.692110534933959116e+03,1.550000000000000000e+03,1.000000000000000000e+03,1.810159758284896270e+03,1.577448387327000773e+03,1.025038670711755685e+03,0.000000000000000000e+00,1.250000000000000555e-01,5.000000000000006523e-02,1.222821978218119511e+03,3.294890491565223845e-01,5.913356402454753580e-01,1.000000000000000000e+00
