,r,rho,vp,vs,vphi,K,G
42,308225.9165284698,8891.436561078115,6652.686315249384,0.0,0.0,277818869684.96936,87054801173.64378
43,315564.62882676674,8889.765162426535,6651.054372616502,0.0,0.0,277586268962.45593,87007383098.0959
44,322903.3411250636,8888.093763774952,6649.4224299836205,0.0,0.0,277349094518.2357,86959063698.74834
45,330242.0534233605,8886.422365123371,6647.790487350738,0.0,0.0,277110513195.5174,86910462277.63573
46,337580.76572165743,8884.75096647179,6646.158544717855,0.0,0.0,276867862348.16284,86861045082.79272
47,344919.47801995435,8883.07956782021,6644.526602084972,0.0,0.0,276622927236.8937,86811189223.75974
48,352258.1903182512,8881.408169168628,6642.89465945209,0.0,0.0,276375314793.42645,86760819216.71065
49,359596.9026165481,8879.736770517047,6641.2627168192075,0.0,0.0,276123919680.6151,86709708306.45259
50,366935.61491484503,8878.065371865467,6639.630774186326,0.0,0.0,275870481910.3259,86658197696.62692
51,374274.3272131419,8876.393973213886,6637.998831553444,0.0,0.0,275613557829.58136,86606005529.77007
52,381613.0395114388,8874.722574562304,6636.36688892056,0.0,0.0,275353332531.7797,86553169187.61224
53,388951.7518097357,8873.051175910723,6634.734946287678,0.0,0.0,275090532833.62714,86499831042.73557
54,396290.46410803264,8871.37977725914,6633.103003654795,0.0,0.0,274824922839.61334,86445945583.69157
55,403629.1764063295,8869.70837860756,6631.471061021914,0.0,0.0,274555539050.63272,86391326370.60796
56,410967.8887046264,8868.03697995598,6629.839118389031,0.0,0.0,274283107457.3739,86336115595.65349
57,418306.60100292333,8865.811963611859,6627.67618430431,0.0,0.0,274007694323.6423,86280325888.34593
58,425645.31330122025,8863.201849552905,6625.143891368786,0.0,0.0,273729196253.66638,86223937873.05344
59,432984.0255995171,8860.59173549395,6622.611598433263,0.0,0.0,273447540692.3369,86166938871.24594
60,440322.737897814,8857.981621434996,6620.079305497739,0.0,0.0,273162676502.21616,86109320369.19092
61,447661.45019611093,8855.37150737604,6617.547012562216,0.0,0.0,272874567473.93246,86051076354.32022
62,455000.16249440785,8852.761393317085,6615.014719626692,0.0,0.0,272583190575.90576,85992203397.9672
63,462338.8747927047,8850.15127925813,6612.482426691169,0.0,0.0,272288533130.36523,85932700094.23087
64,469677.5870910016,8847.541165199176,6609.950133755647,0.0,0.0,271990590655.37128,85872566631.85797
65,477016.29938929854,8844.931051140222,6607.417840820122,0.0,0.0,271689365316.8489,85811804482.92862
66,484355.0116875954,8842.320937081266,6604.885547884598,0.0,0.0,271384864346.00183,85750416051.11963
67,491693.7239858923,8839.710823022313,6602.353254949076,0.0,0.0,271077098935.67413,85688404497.80637
68,499032.4362841892,8837.100708963357,6599.820962013552,0.0,0.0,270766083879.14468,85625773731.16306
69,506371.14858248614,8834.490594904402,6597.288669078029,0.0,0.0,270451373092.09174,85562440159.0263
70,513709.860880783,8831.880480845448,6594.756376142505,0.0,0.0,270133356927.6336,85498479289.91354
